,model_configuration,weighted_avg_f1
1,multinomialMB_alpha_.2_tfidf,0.24382678506524477
2,multinomialMB_alpha_.2_tfidf_clean,0.2559344830484063
3,multinomialMB_alpha_.2_count,0.29669994694987495
4,multinomialMB_alpha_.2_count_clean,0.3066167023278806
5,SVC_linear_C1.1_tfidf,0.27717054004047886
6,SVC_linear_C1.1_tfidf_clean,0.2673952332692855
7,SVC_linear_C1.1_count,0.2763357686920315
8,SVC_linear_C1.1_count_clean,0.26539703238196843
9,SVC_default_rbf_C2.5_tfidf,0.2413758755864019
10,SVC_default_rbf_C2.5_tfidf_clean,0.2570525770709616
11,SVC_default_rbf_C2.5_count,0.2513839892067592
12,SVC_default_rbf_C2.5_count_clean,0.25387748854653885
13,RandomForest_tfidf,0.20491881205296514
14,RandomForest_tfidf_clean,0.19647977470558114
15,RandomForest_count,0.22905637139190665
16,RandomForest_count_clean,0.21081049495371745
17,LogisticRegression_liblinear_tfidf,0.22356441020517795
18,LogisticRegression_liblinear_tfidf_clean,0.2268132773692487
19,LogisticRegression_liblinear_count,0.30438226646069344
20,LogisticRegression_liblinear_count_clean,0.3167451704347433
21,LogisticRegression_lbfgs_tfidf,0.23615887005979883
22,LogisticRegression_lbfgs_tfidf_clean,0.2333293050865671
23,LogisticRegression_lbfgs_count,0.2838941667477307
24,LogisticRegression_lbfgs_count_clean,0.27654464142559376
25,multinomialMB_alpha_.2_tfidf,0.24382678506524477
26,multinomialMB_alpha_.2_tfidf_clean,0.2559344830484063
27,multinomialMB_alpha_.2_count,0.29669994694987495
28,multinomialMB_alpha_.2_count_clean,0.3066167023278806
29,SVC_linear_C1.1_tfidf,0.27717054004047886
30,SVC_linear_C1.1_tfidf_clean,0.2673952332692855
31,SVC_linear_C1.1_count,0.2763357686920315
32,SVC_linear_C1.1_count_clean,0.26539703238196843
33,SVC_default_rbf_C2.5_tfidf,0.2413758755864019
34,SVC_default_rbf_C2.5_tfidf_clean,0.2570525770709616
35,SVC_default_rbf_C2.5_count,0.2513839892067592
36,SVC_default_rbf_C2.5_count_clean,0.25387748854653885
37,RandomForest_tfidf,0.20491881205296514
38,RandomForest_tfidf_clean,0.19647977470558114
39,RandomForest_count,0.22905637139190665
40,RandomForest_count_clean,0.21081049495371745
41,LogisticRegression_liblinear_tfidf,0.22356441020517795
42,LogisticRegression_liblinear_tfidf_clean,0.2268132773692487
43,LogisticRegression_liblinear_count,0.30438226646069344
44,LogisticRegression_liblinear_count_clean,0.3167451704347433
45,LogisticRegression_lbfgs_tfidf,0.23615887005979883
46,LogisticRegression_lbfgs_tfidf_clean,0.2333293050865671
47,LogisticRegression_lbfgs_count,0.2838941667477307
48,LogisticRegression_lbfgs_count_clean,0.27654464142559376
49,gradient_boost_tfidf,0.2048750686641748
50,gradient_boost_tfidf_clean,0.20253598521117988
51,gradient_boost_count,0.24040408455953133
52,gradient_boost_clean,0.24611294383363597
